Product_ID,Product_Name,Product_Category,Price,Image_URL,Details,Ingredients,Nutrition_Dict
78962166,Wegmans Food You Feel Good About Large Cut Mirepoix, Fresh Cut Vegetables,$4.09 each,"https://d2d8wwwkmhfcva.cloudfront.net/750x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_9e11a21d-82b5-4af3-9255-79fcbb731b6d.jpeg","Processed in Canada.  Our Food You Feel Good About yellow banner is your shortcut to great-tasting products with no artificial colors, flavors, or preservatives.","Carrot, Celery, Onion.","{'Calories': ' 30', 'Total Fat': ' 0g', 'Cholesterol': ' 0mg', 'Sodium': ' 30mg', 'Total Carbohydrate': ' 6g', 'Protein': ' 0g'}"
,,,,,,,
78990029,Wegmans Food You Feel Good About Diced Celery & Onions, Fresh Cut Vegetables,$2.89 each,"https://d2d8wwwkmhfcva.cloudfront.net/750x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_82ca6460-ebd0-48e6-bc75-8a86555f3325.jpeg","Processed in Canada. Product of USA.  Our Food You Feel Good About yellow banner is your shortcut to great-tasting products with no artificial colors, flavors, or preservatives.","Celery, Onions.","{'Calories': ' 20', 'Total Fat': ' 0g', 'Cholesterol': ' 0mg', 'Sodium': ' 20mg', 'Total Carbohydrate': ' 3g', 'Protein': ' 1g'}"
,,,,,,,
152261162,Wegmans Fresh Cut Veggies Portabella Mushroom Cutlets, Fresh Cut Vegetables,$9.19 each,"https://d2d8wwwkmhfcva.cloudfront.net/750x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_814b3c98-0a6e-43dc-ab26-8e5d8c61eebd.jpeg",breaded portabella mushroom caps with spices & cheese,NA,"{'Calories': ' 20', 'Total Fat': ' 0g', 'Cholesterol': ' 0mg', 'Sodium': ' 20mg', 'Total Carbohydrate': ' 3g', 'Protein': ' 1g'}"
,,,,,,,
79005600,Wegmans Food You Feel Good About Diced Green Peppers, Fresh Cut Vegetables,$2.89 each,"https://d2d8wwwkmhfcva.cloudfront.net/750x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_1f2c1e13-62d0-439e-8a8e-e5bd6d41e3f8.jpeg","Processed in Canada. Product of USA.  Our Food You Feel Good About yellow banner is your shortcut to great-tasting products with no artificial colors, flavors, or preservatives.",Green Bell Peppers.,"{'Calories': ' 15', 'Total Fat': ' 0g', 'Cholesterol': ' 0mg', 'Sodium': ' 0mg', 'Total Carbohydrate': ' 3g', 'Protein': ' 1g'}"
,,,,,,,
696580118,Wegmans Petite Diced Tomatoes Steam Peeled, Fresh Cut Vegetables,$0.99 each,"https://d2d8wwwkmhfcva.cloudfront.net/750x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_76aa6dce-c276-4452-ae7f-2e1a1f86d4e6.jpeg","No Artificial Colors, Flavors or Preservatives. Our Food You Feel Good About yellow banner is your shortcut to great-tasting products with no artificial colors, flavors or preservatives.Can lining made without added BPA.","Tomatoes, Tomato Juice, Sea Salt, Calcium Chloride, Citric Acid.","{'Calories': ' 25', 'Total Fat': ' 0g', 'Cholesterol': ' 0mg', 'Sodium': ' 180mg', 'Total Carbohydrate': ' 5g', 'Protein': ' 1g'}"
,,,,,,,
